NAME,z,,,
SDSS J020502.80-001739.0,3.006700039,,,
SDSS J225419.19-000155.1,3.008300066,,,Redshift
SDSS J013108.18+005248.2,3.01060009,,Minimum,3.006700039
SDSS J010046.16-005855.2,3.011199951,,Maximum,4.832699776
SDSS J010101.00+003918.5,3.01850009,,,
SDSS J010256.55+003004.5,3.025399923,,,
SDSS J010326.88+005538.6,3.026000023,,,
SDSS J003426.22+002602.0,3.042700052,,,
SDSS J003438.38+001417.2,3.049000025,,,
SDSS J004052.84-010724.9,3.053999901,,,
SDSS J004154.37-002955.8,3.053999901,,,
SDSS J004218.71+003237.1,3.059200048,,,
SDSS J004254.33+000457.7,3.060199976,,,
SDSS J002816.45-005306.3,3.062700033,,,
SDSS J002825.01+010604.2,3.067399979,,,
SDSS J002949.10+004541.9,3.074500084,,,
SDSS J001254.37-010838.5,3.076699972,,,
SDSS J001412.93-002102.6,3.082400084,,,
SDSS J001520.54+002716.5,3.085099936,,,
SDSS J001626.53+003632.4,3.085200071,,,
SDSS J001634.35-010622.7,3.093600035,,,
[HB89] 0008+008,3.097700119,,,
SDSS J001141.74-000418.9,3.101500034,,,
SDSS J001217.08-005437.6,3.105999947,,,
SDSS J234921.56-005915.0,3.107300043,,,
SDSS J235053.51-004810.2,3.113199949,,,
SDSS J235110.80+000221.1,3.120300055,,,
SDSS J235219.08-000012.0,3.121999979,,,
SDSS J235230.16+000552.0,3.1243999,,,
SDSS J235406.24-002110.5,3.126300097,,,
SDSS J235525.78+010150.1,3.126499891,,,
SDSS J234353.63-004450.6,3.131299973,,,
SDSS J234548.17+000548.3,3.131400108,,,
SDSS J233604.79+002635.4,3.133699894,,,
SDSS J233928.26+005906.4,3.134900093,,,
SDSS J234110.00-004159.0,3.140799999,,,
SDSS J234345.56-002058.8,3.146800041,,,
SDSS J224206.89-005151.8,3.153700113,,,
SDSS J224215.95-005326.2,3.155999899,,,
SDSS J224647.76+010515.2,3.158299923,,,
SDSS J224932.86+004104.5,3.158699989,,,
2MASS J22495608+0002182,3.165999889,,,
SDSS J225540.80+001909.6,3.177299976,,,
SDSS J225752.55+002230.3,3.177900076,,,
SDSS J230111.22+011243.2,3.179199934,,,
SDSS J230323.75+001615.1,3.190900087,,,
SDSS J230639.60+010855.1,3.193200111,,,
SDSS J230832.98-002332.2,3.193300009,,,
SDSS J222642.94+004535.6,3.194600105,,,
SDSS J222651.02+005900.3,3.200900078,,,
SDSS J222731.29+004148.7,3.2026999,,,
SDSS J222741.01-010401.9,3.202899933,,,
SDSS J222807.57+003526.2,3.209599972,,,
SDSS J222919.32-001857.8,3.210900068,,,
SDSS J223122.31+010418.3,3.210999966,,,
SDSS J223253.51-001119.4,3.211100101,,,
LBQS 2231-0015,3.21329999,,,
SDSS J025112.44-005208.1,3.21449995,,,
SDSS J025250.10+000830.4,3.22480011,,,
SDSS J024347.37-010611.7,3.228399992,,,
SDSS J024415.61-000053.0,3.234299898,,,
SDSS J024452.32-003317.8,3.236700058,,,
